id,subject,body,label
11,REPLY URGENT AND CALL ME.,"FROM THE DESK OF : DR HASSAN DANTATA,
AUDITING AND ACCOUNTING SECTION,
AFRICAN DEVLOPMENT BANK ( A.D.B )
OUAGADOUGOU BURKINA-FASO,WEST AFRICA.


Attention Please,


I am Dr Hassan Dantata, the Director in charge of Auditing and Accounting 
section of AFRICAN DEVELOPMENT BANK (A.D.B) Ouagadougou Burkina-faso West 
Africa. With due respect and regard. I have decided to contact you on a 
business transaction that will be very beneficial to both of us at the end 
of the transaction .


During our investigation and auditing in this bank, my department came 
across a very huge sum of money belonging to a deceased person who died in a 
plane crash and the fund has been dormant in his account with this Bank 
without any claim of the fund in our custody either from his family or 
relation before our discovery to this development.


The said amount was U.S 7.5M (Seven Million,Five Hundred Thousand United 
States Dollars). As it may interest you to know, I got your impressive 
information through internet directory . Meanwhile all the whole arrangement 
to put claim over this fund as the bonafide next of kin to the deceased, get 
the required approval and transfer this money to a foreign account has been 
put in place and directives and needed information will be relayed to you as 
soon as you indicate your interest and willingness to assist, and also 
benefit your self to this great business opportunity.


In fact I could have done this deal alone but because of my position in this 
country as a civil servant(A Banker),we are not allowed to operate a foreign 
account and would eventually raise an eye brow on my side during the time of 
transfer because I work in this bank. This is the actual reason why it will 
require a second party or fellow who will forward claims as the next of kin 
with affidavit of trust of oath to the Bank and also present a foreign 
account where he will need the money to be re-transferred into on his 
request as it may be after due verification and clarification by the 
correspondent branch of the bank where the whole money will be remitted from 
to your own designation bank account.


I will not fail to inform you that this transaction is 100% risk free.On 
smooth conclusion of this transaction, you will be entitled to 30% of the 
total sum as gratification, while 10% will be set aside to take care of 
expenses that may arise during the time of transfer and also telephone and 
internet bills, while 60% will be for me and my coleagues. Please, you have 
been adviced to keep ""Top Secret"" as I am still in service and intend to 
retire from service after we conclude this deal with you.


I will be monitoring the whole situation here in this bank until you confirm 
the money in your account and ask me to come down to your country for 
subsequent sharing of the fund according to percentages previously indicated 
and further investment, either in your country or any country you advice us 
to invest in. All other necessary vital nformation will be sent to you when 
I hear from you.


I look forward to receive your phone and fax numbers for easy communication,


Yours faithfully,


Dr Hassan Dantata

MOBILE: ( 00226 78 82 97 88 )

_________________________________________________________________
Express yourself instantly with MSN Messenger! Download today it's FREE! 
http://messenger.msn.click-url.com/go/onm00200471ave/direct/01/



",1
12,Attn: President/Director ,"æ°ããã¡ã¼ã«ã¢ãã¬ã¹ããç¥ãããã¾ãæ°ããã¡ã¼ã«ã¢ãã¬ã¹ï¼ wilson_ogodi0232000@yahoo.co.jp

Attn: President/Director,

I am the chairman of the contract award committee,I wish not to disclose the most important thing for now until I hear from you.we want you to assist us receive the sum of ($28.6M) into your account.contact me for more details if you wish to partake in this great deal

- Mr.Wilson Ogodi

",1
13,CAN I TRUST YOU ON THIS DEAL?,"Reply-To: eng_alikasim@yahoo.de MIME-Version: 1.0 Content-Type: text/plain Message-Id: <20070311214715.A6B6BBF1278@pontnet.hu> Date: Sun, 11 Mar 2007 22:16:50 +0100 (CET) Content-Transfer-Encoding: quoted-printable =0D >From ENGR ALI KASIM=0D Nigerian National Petroleum Corporation, (NNPC),=0D Garki, Abuja-Nigeria.=0D 10-3-2007=0D =0D  =0D ATTN,  =0D  =0D IT IS MY PLEASURE TO WRITE THIS E-MAIL TO YOU BELIEVING THAT YOU WILL =0D FIND IT INTERESTING TO READ AND REPLY AS SOON AS POSSIBLE. =0D MY NAME IS ENGR ALI KASIM, I AM A DIRECTOR IN THE NIGERIA NATIONAL =0D PETROLEUM CORPORATION (NNPC).=0D  =0D I HAVE THIS DEAL OF AN OVER INVOICED SUM OF US$25,000,000.00 PURPOSELY =0D CARVED OUT FROM AN ALREADY EXECUTED CONTRACT IN MY CORPORATION.=0D  =0D IT WILL BE MY UTMOST INTEREST TO HAVE YOU AS ONE OF THE PARTNERS TO =0D PROCESS THE DOCUMENTS AND HAVE THE FUND RELEASED TO YOU AS THE FOREIGN =0D CONTRACTOR THAT OWN THE FUND.=0D  =0D THE TRANSACTION WILL BE GIVEN EQUAL LEGAL BACKING THAT IS GIVEN TO AN =0D EXECUTED CONTRACT. THERE IS ABSOLUTELY NO RISK INVOLVED. IT IS 100% RISK = =0D FREE. EVERY ARRANGEMENTS TOWARDS IT SUCCESSFULL PROCESSING HAVE BEEN =0D PERFECTED.=0D  =0D MY POSITION AS A CIVIL SERVANT HERE IN NIGERIA DOES NOT PERMIT ME TO =0D RUN A FOREIGN BANK ACCOUNT THAT IS ONE OF THE REASONS I NEED YOUR =0D INVOLVEMENT AND ALSO ASSIT IN FINANCING THE PROCESSING OF THIS TRANSACTIO= N =0D WHICH IS VERY IMPORTANT.THE RATIO OF ITS SHARING IS 55% FOR ME, 45% FOR =0D YOU.=0D  =0D TO COMMENCE THE PROCESSING, I WOULD LIKE YOU TO SEND TO ME (A) YOUR =0D FULL NAMES AND COMPANY NAME TO BE INCORPORATED AND ADDRESS, (B) YOUR BANK=  =0D ACCOUNT INFORMATION WHERE THE FUND WILL BE TRANSFERED TO OR WITHIN THE =0D SHORTEST PERIOD YOU CAN OPEN A NEW ACCOUNT FOR THIS TRANSACTION, (C) =0D YOUR TELEPHONE/FAX NUMBERS.=0D  =0D I AWAIT YOUR URGENT REPLY.=0D =0D REGARDS=0D ENGR ALI KASIM=0D =0D =0D =0D",1
14,GOOD NEWS TO YOU MY FRIEND,"

Dear Friend,
I did not forgot your past effort and attemps to assist me,
now I'm happy to inform you that i have suceeded in getting those
funds transferred under the cooperation of a new partner from Paraguay.
So Contact my secretary in(benin republic) ask him for ($700.000.00)
for your compensation his name is ADUNU EMMANUEL
Email:adunu_el2000@myway.com
NOTE :BELWO HERE IS THE REQUIRED INFORMATIONS YOU WILL SEND TO MY SECRETARY :
(1) YOUR FULL NAMES
(2) YOUR HOUSE ADDRESS
(3) YOUR DIRECT CELPHONE NUMBER AND HOUSE PHONE WITH FAX IF ANY .
(4) YOUR ID EITHER INTERNATIONAL PAS-PORT OR DRIVING LINCES .
Regards
Barr.Jerry Ikem



**************
Registrati ad Alice Basic e scarica Alice Messenger, 
il nuovo instant messenger che ti fa chattare GRATIS con i tuoi amici!
Per maggiori informazioni vai su: 
http://adsl.alice.it/servizi/alicebasic.html?pmk=psmail_foot01
",1
15,ESTRADA,"

I am Dr Luisa Pimentel Estrada, the wife of Joseph Ejercito Estrada,former president of Philippines. I have children with my husband Jose, Jacqueline and Jude.Two sons and a daugther.This mail may be coming to you as a surprise or an article but it is very real.

I gave the mail to my daugther Jude to send the mail to any contacts she sees and may be a God fearing person will listen to our plight.I will want you as the receiver to read through it and think very well if you can help or render us any assistance. My husband Joseph Ejercito estrada was elected as the 13th President of the Philippines in May 1998 by the people of Philippines due to his popularity in the film industry made him to win the largest popularity in the history of election in Philippines.He has attain the position of Senate in 1987,then vice-president in May 1992 and later become the president 1998.My husband became mayor of his hometown, San Juan in 1969 but it was 1972 that he had a string of public successes. My husband was named one of the ten Outstanding Young Men in Public Administration. He was also named Most Outstanding Mayor and Foremost Nationalist and Most Outstanding Metro Manila Mayor.

 My husband is recently accused of illegal acquire some four Billion Peso ($80M) during his 31 months in office as President backed up by an uprising of mass Demonstrators and Senate Traitors. They also said that he has skimmed off tobacco excise Taxes benefitting from government business deals.Most of them benefitted from my husband's generousity when he was in office. But they just turned around to be the ones to impeach him. I have tried every possible means to get him out of Detention without success. The Despotic forces in power appear bent in deriding him, rubbishing his achievements while freezing all his known Bank accounts.He has been accused of economic plunder carrying the maximum penalty of death. To the worst of it all,all other wives of my husband especailly Guia Gomez and some of his children born outside wedlock are testifying against us.In conjunction with the PCGG funded by the recent President Arroyo Macapagal Gloria. These are some of the allegations file!
 before my husband in the impeachment trial; 

1. Gov. Luis Singson, a longtime friend of my husband, said he provided the my husband with more than $8 million in payoffs from illegal gambling and $2.7 million from tobacco taxes. 

2. Witnesses testify one of an account in the Philippines third largest bank held millions of dollars in bribes collected by my husband. Equitable PCI Bank President George Go resigns. The banks senior vice president, Clarissa Ocampo, said she saw my husband sign a false name to documents withdrawing $10 million from a secret personal account. 

3. On Dec 31 Five synchronized bomb attacks kill 22 people and injure more than 120 in Manila, days before the trial is to return from holiday recess. Police accuse Muslim rebels but many fear the bombs may be linked to the trial. 


4. That my husband received about $8.5 million in pay-offs from illegal gambling operators. 5. That my husband participated in a real estate business controlled by me and my son Jose despite a prohibition on outside business interests while in office. My husband is suffering from bronchitis and emphysema right now and he detained at the Veterans Memorial Medical Center in Quezon City in hospital prison outside Manila where the life of my husband is in danger.I will let you know that it is political motivated by Gloria Arroyo.Meanwhile,the government has said that it may drop rebellion charges against my husband allies Senator Juan Ponce Enrile and the former ambassador to the United State Ernesto Maceda because they were in the side of my husband,both men were later jailed by the government of Gloria Arroyo that they instigated a march on the presidential palace by 50,000 supporters of my husband.These are all political.All these are done to have my husband death. Presently !
life has not been easy for my children and I,my travelling documents have been seized by the government and they restricted me and my children to have access to my husband.

 Haven seen the way things are going with us.He decided to let me know that he deposited some money with Bank in Europe.He said that he deposited the sum of twenty Million dollars $20,000,000 in Banesto Bank Valencia Spain.Now I want to start a new life with the money.I want to invest the money outside Philippines. What I am begging you is to assist me in receiving the money on my behalf. I have discussed with the lawyer here in Metropolitan Manila and the chairman of the International Credit Commission in Madrid about this arrangement,they assured me that the money will be release to my representative.In that regards,I have gone to collect the documents needed from Gomez Carlos who my husband kept the documents with. If you are willing to assist me in receiving the money.You will send me your full names,contact Fax and Telephone numbers to enable me forward your informations to the appropriate offices. Once you get back to me,we will discuss your fee/commission you will lik!
en to take for receiving the fund in your account.Thereafter we will enter into a revocable trust agreement appointing you as the trustee to the trust fund.

 I will be communicating with you by email because my telephone lines are not safe for the transaction because of the heighten security around me and my family. I would want us to be in partnership in any good business you may suggest in your country. Please handle this transaction with maturity and sincerity. Best Regards,

 Dr Luisa Pimental Estrada 

NB:Please note this send all email conresspondence to this email address {judeestrada1@epatra.com}OR{joseestrada1@epatra.com}

__________________________________________________________
Get your Private, Free Email from HTTP://www.DmailMan.Com

",1
16,TREAT AS URGENT AND CONFIDENTIAL,"  


 DEAR SIR,  

       REQUEST FOR URGENT BUSINESS TRANSACTION 

I AM VERY MUCH IMPRESSED TO WRITE YOU THIS LETTER, DUE
TO MY DEEP INTEREST TO INVEST OUTSIDE NIGERIA, I WOULD
LIKE TO INTRODUCE THIS TRANSACTION TO YOU WHICH I
BELIEVE WOULD NOT ONLY PAVE WAY FOR A LONG LASTING
RELATIONSHIP BETWEEN OUR TWO ORGANISATIONS, BUT ALSO
BE BENEFICIAL TO ALL CONCERNED.

I WORK WITH THE NIGERIAN NATIONAL PETROLEUM
CORPORATION (NNPC), I AM IN THE ACCOUNTS/FINANCE
DEPARTMENT AND MY JOB IS TO PROCESS PAYMENT TO FOREIGN
COMPANIES THAT WHERE AWARDED CONTRACT BY THE MINISTRY
HERE IN NIGERIA. NOW THE NIGERIA GOVERNMENT HAS
ORDERED FOR THE PAYMENT OF DEBT FOR CONTRACTS DONE BY
SOME FOREIGN COMPANIES FOR MY MINISTRY. IN THE COURSE
OF SUBMITTING THE LIST OF CONTRACTS DONE TO THE
GOVERNMENT, WE OVER ESTIMATED THE AMOUNT. NOW THOUGH
SOME COMPANIES HAVE BEEN PAID, SOME ARE YET TO
INDICATE THE CALIM PAYMENT, THEREFORE SOME AMOUNT
OFMONEY STILL REMAIN UNPAID.

AS A MATTER OF SECRECY, I AND MY COLLEAGUES IN THE
MINISTRY INCLUDING THE CHIEF ACCOUNTANT HAVE THEREFORE
DECIDED TO DIVERT TWENTY EIGHT POINT FIVE MILLION U.S.
DOLLARS ONLY (USD $28.5M) (WHICH IS THE OVER ESTIMATED
SUM) INTO OUR PRIVATE PURSE, THIS CAN ONLY BE POSSIBLE
LOOKING FOR SOME BODY WHO IS GOING TO HELP TO RECEIVE
THIS FUND TO HIS COMPANYï¿½S ACCOUNT, WE THE OFFICIAL
WILL TAKE 65% YOU WILL BE GIVEN 30% FOR HELPING US TO
RECEIVE THIS AMOUNT WHILE THE REMAINING 5% WILL BE
EXPENSES TO BE INCURRED DURING THE PROCESS
OFREMITTANCE.

REQUIREMENTS FROM YOU ARE:-

1.YOUR COMPANYï¿½S BANK NAME, ADDRESS, FAX, PHONE AND
ACCOUNT NUMBER.

2.YOUR PERSONAL PHONE NUMBER, TELEX, FAX NUMBERS FOR
URGENT COMMUNICATION.

THESES INFORMATION WILL BE USED TO MANIPULATE
REGISTRATION AND PROCESS PAYMENT IN YOUR COMPANYï¿½S
NAME INTO YOUR BANK ACCOUNT AS ONE OF THE
FOREIGNCONTRACTORS TO BE PAID.

PLEASE KINDLY ACKNOWLEDGE THE RECEIPT OF THIS LETTER
THROUGH THE ABOVE E-MAIL ADDDRESS SO THAT I CAN GIVE
YOU THE CLUE ON HOW TO SEND THE DOCUMENTS.

LOOKING FORWARD TO YOUR POSITIVE REPONSE.

YOUR FAITHFULLY,
PRINCE FOLU FADAKA

N.B DO NOT HESITATE TO E-MAIL ME  IMMEDIATELY YOU
RECEIVE THIS MESSAGE.       




",1
17,98 - 1601,"please extend the sale at lockhart to southern union for two extra days at
the same price .
thank you ,
janet
- - - - - - - - - - - - - - - - - - - - - - forwarded by janet h wallis / hou / ect on 06 / 02 / 2000
10 : 16 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
jackie young
06 / 02 / 2000 09 : 32 am
to : janet h wallis / hou / ect @ ect
cc :
subject : 98 - 1601
can you please extend deal # 254839 to cover flow for 5 / 20 and 5 / 21 ? on the
20 th , 578 decatherms flowed . on the 21 st , 109 decatherms flowed .
thanks
- jackie -
3 - 9497",0
18,marketing,"michelle : let ' s see if this works . i ' ve attached the description . also , i spoke with johnny tramel this morning but he does not have any openings . let me know if you get this .
terri d",0
19,From: EMMANUEL JEFF,"From: EMMANUEL JEFF
 
Abidjan Cote D'Ivoire.


Dear sir, 

Permit me to inform you of my desire of going into 
business  relationship with you . 
I am djiouf samba The first son of late Mr and Mrs
ATTAH JEFF of Zimbabwe and my family comes
from the royal lineage. My father was a very wealthy
GOLD and COCOA  manchant who based in ACCRA  GHANA 
and ABIDJAN respectively, The economic capital of cote
DIvoire.
He  was poisoned to death by his business associate on
one of their  business outings. 
When  my mother died  on the 21ST  october 1994 , My
father took me and my brother so specail  because we
were motherless. 
Before  the death of my father on the 29th  April 
2002 in a private hospital here  in Abidjan , He 
sincerely called me on his bed side  and told me  that
he had a sum of 3.5OO  MILLION USA DOLLARS)
kept 
in a security company in
(AFRICA). He also said that the security company
does not know the content of the safe Box.He  also
used my name to Deposit  the  money  as his first Son
for next of kin. He  also explained  to me that it was
because of this wealth  that he was poisoned by his
business assocaites, That I should  seek for a foreign
partner in a country  of my choice where I will 
transfer this money  and use it for investment
purposes, I want you to assist me in clearing this
fund into your  account overseas  as a beneficiary of
the fund, and also use
it  for  an ivestment purpose, such as real estate
management. My intrested areas of investment are; REAL
ESTATE,HOTELS, PETROLUM INDUSTRY. 
, I am honourably seeking for your assistance in
the following ways. 
(1)To assist me  to clear this  fund from the security
company and transfer to your account successfully. 
(2) to  provide a bank account into which this money
would be transfer to. 
(3)To serve as  the guardian of this fund since
I am a Boy of (22)yrs . 
(4) To make arrangement for me to come over to your 
country  to further my Education and to secure a 
residential  permit in your country. 
Moreover, I am willing to offer you 15% of the total
sum  as compensation for your effort /input after the
successful transfer of this fund to your nominated 
account.  
Furthermore,  you can indicate your option towards
assisting me as I believe that  this  transaction 
would be concluded within 14days,from the day you
signify interest to assist me. 
Awaiting  to hear from you  soonest.
Please  reach me through the E-mail address above, 
to enable us discuss the
modanities.
Thanks and God bless you as you for your anticipated
coperation. 
THE IS MY EMAIL 
Best Regards,
EMMANUEL JEFF






		
---------------------------------
Do you Yahoo!?
 Yahoo! Search presents - Jib Jab's 'Second Term'",1
20,ASSISTANCE   FOR CHARLES  TAYLOR,"ATTN:SIR/CEO,  

ASSISTANCE   FOR CHARLES  TAYLOR 

I am writing you based on recommendation, trust and confidence.  My name is Mr. David Anderson, one of   Charles Taylorï¿½s personal aids.  I write to solicit your assistance in the investment of a total of US$17,000,000.00 (Seventeen Million United States dollar) belonging to Charles Taylor the former President of Liberia. 

This amount is his general savings throughout his tenor in the office as President of Liberia.  But, due to the sanctions from the World Governing body, requesting him to leave the country within a certain period for the forestallment of peace and unity in Liberia, the fund was moved by him out of Monrovia to a neighboring country for safe keeping.  Since we are now in Nigeria seeking asylum, we have no means of reaching the fund unless if Power of Attorney is given to a third party to administer the fund on his behalf.  Thus the need for assistance from you.

The terms and condition of this understanding is negotiable and very attractive.  If you are interested, forward via email your full Biota (i.e.) Company name, address, private fax and telephone for further discussions or contact me on my direct private line. 234-1-7755802.  Please treat this matter with absolute confidentiality.

I await your urgent response.

Yours sincerely,

Dr. David Anderson.

 

 

 

 

 





",1
21,leading industry firm releases ercot electricity price forecast,"study : a new market takes shape
due to the rescheduled ercot market trials , henwood will be hosting its ercot pma workshop on wednesday , june 20 th , instead of tuesday , june 12 th . ercot at the crossroads a new market takes shape wednesday , june 20 , 2001 8 : 00 a . m . - 3 : 00 p . m . hyatt regency downtown houston , houston , tx a team of henwood regional power market specialists will be presenting the latest analysis and information to assist you in the ercot power market , in addition to an analysis of the issues now playing out in the wscc markets . registration and breakfast will begin at 8 : 00 am and the program will run until 3 : 00 pm . lunch will also be provided . agenda topics include : * wholesale generation outlook and how to make a profit in the future overbuilt ercot market ? * how will market restructuring impact mid to long - term wholesale prices ? * what are the new analytical tools available to capture market volatility and uncertainty impacts to your supply contracts and generation assets ? * what are the restructuring lessons learned from the california experience and the implications to ercot ? * how can you learn to develop profitable operations in the ercot market ? * how can internet based e - business tools help identify and track power plant activity in ercot ? * how valuable is it to you to know the operational data of your competitors on an hourly basic ? in conjunction with this program , henwood will have a demonstration room available to present its latest software applications and e - business solutions . a $ 350 registration fee is required to reserve a space in the workshop . to reserve space now , please register online at www . henwoodenergy . com / html / events . html . limited space is available , so make sure to register early ! we will have a drawing for a new pda at 1 : 00 pm during lunch and the winner must be present . please review the agenda online and feel free to call me directly if you have any questions or need additional information about the ercot workshop . hope to see you houston on the 20 th of june ! sincerely , mark g . foster director - strategic advisory services 916 - 569 - 0985 ext . 480",0
